Date,"Korea, South",Germany,United Kingdom,US,France
2020-01-22,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.01950489363152545,0.0,0.0,0.0,0.0
2020-02-16,0.01950489363152545,0.0,0.0,0.0,0.0
2020-02-17,0.01950489363152545,0.0,0.0,0.0,0.0
2020-02-18,0.01950489363152545,0.0,0.0,0.0,0.0
2020-02-19,0.01950489363152545,0.0,0.0,0.0,0.0
2020-02-20,0.01950489363152545,0.0,0.014730575346369961,0.0,0.0
2020-02-21,0.01950489363152545,0.0,0.029461150692739923,0.0,0.0
2020-02-22,0.01950489363152545,0.0,0.029461150692739923,0.0,0.0
2020-02-23,0.01950489363152545,0.0,0.08838345207821977,0.0,0.0
2020-02-24,0.01950489363152545,0.0,0.11784460277095969,0.0,0.0
2020-02-25,0.01950489363152545,0.0,0.14730575346369962,0.0,0.0
2020-02-26,0.0390097872630509,0.0,0.17676690415643953,0.0,0.0
2020-02-27,0.0390097872630509,0.0,0.19149747950280951,0.0,0.0
2020-02-28,0.0390097872630509,0.0,0.19149747950280951,0.0,0.0
2020-02-29,0.0390097872630509,0.0,0.23568920554191938,0.0030211238398812706,0.0
2020-03-01,0.0390097872630509,0.0,0.25041978088828937,0.0030211238398812706,0.0
2020-03-02,0.05851468089457634,0.0,0.41245610969835894,0.018126743039287622,0.0
2020-03-03,0.0780195745261018,0.0,0.41245610969835894,0.021147866879168892,0.0
2020-03-04,0.0780195745261018,0.0,0.5155701371229486,0.033232362238693976,0.0
2020-03-05,0.11702936178915269,0.0,0.5155701371229486,0.036253486078575245,0.0
2020-03-06,0.17554404268372903,0.0,0.6186841645475384,0.042295733758337783,0.015320150313348397
2020-03-07,0.2145538299467799,0.0,0.6481453152402783,0.0513591052779816,0.030640300626696794
2020-03-08,0.3705929789989835,0.0,0.736528767318498,0.06344360063750669,0.030640300626696794
2020-03-09,0.3705929789989835,0.023870922664393137,0.7807204933576078,0.06646472447738795,0.045960450940045194
2020-03-10,0.6436614898403398,0.023870922664393137,0.7954510687039779,0.08459146751667557,0.10724105219343877
2020-03-11,0.9362348943132215,0.035806383996589704,0.8838345207821976,0.09667596287620066,0.10724105219343877
2020-03-12,0.9362348943132215,0.035806383996589704,0.9722179728604176,0.12990832511489464,0.13788135282013558
2020-03-13,1.5408865968905103,0.08354822932537598,0.9722179728604176,0.15709843967382606,0.15320150313348396
2020-03-14,1.7749453204688157,0.10741915198976912,1.060601424938637,0.17824630655299495,0.4289642087737551
2020-03-15,1.7749453204688157,0.13129007465416226,1.1047931509777469,0.21752091647145147,0.658766463473981
2020-03-16,2.9062291510972917,0.20290284264734165,1.1047931509777469,0.30211238398812706,1.0111299206809943
2020-03-17,2.9062291510972917,0.28645107197271763,1.193176603055967,0.4048305945440902,1.2562523256945686
2020-03-18,2.9062291510972917,0.3341929173015039,1.2373683290950768,0.5770346534173226,1.777137436348414
2020-03-19,4.75919404609221,0.525160298616649,1.3404823565196664,0.8126823129280617,2.435903899822395
2020-03-20,8.796707027817977,0.7996759092571701,1.3846740825587762,1.1057313253965448,2.9874293111029373
